Date,Pattern,Timeframe,Direction,Entry,Stop,Target,R:R,Correction%,EMA_Aligned,MACD_Aligned,Valid
2023-12-15 11:30:00-05:00,ICI,1h,LONG,188.55499267578125,188.34649887084962,189.1966495361328,3.0775823797832222,0.6551730185734079,True,True,True
2023-12-19 12:30:00-05:00,ICI,1h,LONG,188.9149932861328,188.68224411010743,190.13955334472655,5.261286331944783,0.4636132566690521,True,True,True
2024-01-10 15:30:00-05:00,ICI,1h,SHORT,187.5050048828125,187.66525497436524,187.0132413330078,3.0687255466736687,0.6028396424474601,True,False,False
2024-01-11 14:30:00-05:00,ICI,1h,SHORT,187.66000366210938,187.97100524902345,186.06495556640624,5.128745841878382,0.7252758308461048,True,False,False
2024-01-12 11:30:00-05:00,ICI,1h,LONG,189.36000061035156,189.03698959350587,192.2931485595703,9.080643681636149,0.4080644002504302,True,True,True
2024-01-25 13:30:00-05:00,ICI,1h,SHORT,186.9550018310547,187.06350021362306,186.02455395507812,8.575684300088461,0.4960651680263363,True,True,True
2024-02-09 13:30:00-05:00,ICI,1h,SHORT,187.5749969482422,187.75200271606445,186.8027178955078,4.363016314303578,0.4435488832830862,True,True,True
2024-03-05 12:30:00-05:00,ICI,1h,SHORT,197.57000732421875,197.67800750732422,195.3924747314453,20.162304638380455,0.736115231919072,False,False,False
2024-03-05 15:30:00-05:00,ICI,1h,LONG,197.2050018310547,197.0470054626465,197.9983302001953,5.021181038104748,0.5754653154644518,True,False,False
2024-03-14 12:30:00-04:00,ICI,1h,SHORT,200.3000030517578,200.5605010986328,199.24768615722655,4.039634489222153,0.403313100657562,True,False,False
2024-03-21 12:30:00-04:00,ICI,1h,SHORT,202.1199951171875,202.35600204467772,199.69696826171875,10.266761578721567,0.4789157041810101,False,False,False
2024-03-26 13:30:00-04:00,ICI,1h,SHORT,201.56399536132812,201.8597541809082,200.4767568359375,3.6760984065811684,0.4484728444281986,False,False,False
2024-04-04 11:30:00-04:00,ICI,1h,LONG,212.11000061035156,211.8780075073242,213.19448083496093,4.674622695492446,0.6604454667608007,True,False,False
2024-04-12 11:30:00-04:00,ICI,1h,LONG,219.77999877929688,219.25060348510743,226.30513989257813,12.325650010304507,0.5395697798583327,True,True,True
2024-04-23 14:30:00-04:00,ICI,1h,LONG,215.0800018310547,214.860506439209,216.4012821044922,6.019626482028163,0.4522569910364446,False,False,False
2024-05-03 11:30:00-04:00,ICI,1h,SHORT,212.58999633789062,212.89599990844727,209.91576721191407,8.73920889586992,0.6986282758080109,True,True,True
2024-05-08 13:30:00-04:00,ICI,1h,LONG,213.9550018310547,213.8450035095215,215.15360388183595,10.896548547966013,0.6846133079803279,True,False,False
2024-05-10 15:30:00-04:00,ICI,1h,LONG,218.7100067138672,218.54300079345703,219.78447717285155,6.433726758581344,0.6044774419822815,True,True,True
2024-05-20 15:30:00-04:00,ICI,1h,LONG,224.5500030517578,224.39759979248046,226.21706079101563,10.938465142822416,0.5664068902829725,True,True,True
2024-05-28 15:30:00-04:00,ICI,1h,SHORT,218.1699981689453,218.3910057067871,217.48696887207032,3.0905248913453685,0.7804946128510021,True,False,False
2024-05-29 13:30:00-04:00,ICI,1h,SHORT,216.66000366210938,216.94199981689454,215.83711279296875,2.9180925171392467,0.7403826403356906,True,False,False
2024-06-17 14:30:00-04:00,ICI,1h,SHORT,214.4149932861328,214.63699264526366,213.15392626953124,5.680498455215316,0.582309102243229,True,True,True
2024-06-26 14:30:00-04:00,ICI,1h,LONG,212.55999755859375,212.3905227661133,213.37917004394532,4.8335948571586735,0.677043821506769,False,False,False
2024-08-06 15:30:00-04:00,ICI,1h,LONG,220.7100067138672,220.53850631713868,221.72455822753906,5.915738581514616,0.6422731953007729,False,False,False
2024-08-08 15:30:00-04:00,ICI,1h,LONG,224.00999450683594,223.763330078125,224.5560830078125,2.213892387444753,0.3824781688994956,True,True,True
2024-08-19 12:30:00-04:00,ICI,1h,LONG,231.32000732421875,230.97979583740235,232.6401639404297,3.8803998905638846,0.4062320140273855,True,True,True
2024-08-20 13:30:00-04:00,ICI,1h,SHORT,232.3802947998047,232.5639976501465,230.3466477050781,11.070307787509643,0.44791594920076505,False,False,False
2024-08-29 14:30:00-04:00,ICI,1h,LONG,233.09500122070312,232.81549377441405,234.06968127441405,3.487134481214812,0.42012170898190615,True,True,True
2024-09-04 13:30:00-04:00,ICI,1h,LONG,230.42689514160156,230.23575744628906,231.51831689453124,5.710133478094037,0.43916398014996194,False,False,False
2024-09-05 12:30:00-04:00,ICI,1h,SHORT,232.16000366210938,232.3909034729004,229.54735168457032,11.3150892960399,0.7633208118575464,False,False,False
2024-09-25 11:30:00-04:00,ICI,1h,LONG,245.27999877929688,244.89499740600587,247.3475977783203,5.370367854404071,0.42121154673115424,True,True,True
2024-10-04 15:30:00-04:00,ICI,1h,SHORT,244.99000549316406,245.1167434692383,243.62747717285157,10.7507501896237,0.648203741625082,True,True,True
2024-10-16 13:30:00-04:00,ICI,1h,SHORT,247.13499450683594,247.3999984741211,245.0372041015625,7.916071697960739,0.6625001589461236,False,False,False
2024-10-28 13:30:00-04:00,ICI,1h,LONG,253.1199951171875,253.07600021362305,253.81496704101562,15.796646145842262,0.7647032424548412,True,False,False
2024-12-17 12:30:00-05:00,ICI,1h,SHORT,244.27099609375,244.50349884033204,242.7213819580078,6.664928300945387,0.63105282914171,True,True,True
2024-12-17 15:30:00-05:00,ICI,1h,LONG,244.00999450683594,243.90300674438475,244.8600828857422,7.945659946801349,0.5175409243618744,False,False,False
2024-12-18 11:30:00-05:00,ICI,1h,SHORT,243.67010498046875,243.76499710083007,242.76639428710936,9.523558857345696,0.44615420730776906,True,False,False
2025-01-13 15:30:00-05:00,ICI,1h,SHORT,245.7050018310547,245.802099609375,244.8675791015625,8.62453028255272,0.5748594189315839,True,False,False
2025-01-14 12:30:00-05:00,ICI,1h,LONG,246.33810424804688,246.03550033569337,247.17528576660158,2.766591852839955,0.4429538448934449,True,False,False
2025-01-17 12:30:00-05:00,ICI,1h,LONG,249.9499969482422,249.8750030517578,251.11359118652345,15.515852527058943,0.6307690501901497,True,False,False
2025-01-23 14:30:00-05:00,ICI,1h,LONG,254.02000427246094,253.6935043334961,254.95615295410155,2.8672246757798563,0.5032611947741099,True,False,False
2025-02-21 14:30:00-05:00,ICI,1h,LONG,270.6900939941406,270.4509979248047,271.80976953125,4.682952506159055,0.5379727276239039,True,False,False
